YEAR,INSTNM,CITY,STATE,COUNTRY,INST_TYPE,NT_TUT_REV,INST_EXP,AVG_FAC_SAL,TS,TS_MEN,TS_WOM,TS_MAR,TS_DPEN,TS_VET,TS_PT,ST_FI_LO,ST_FI_M1,ST_FI_M2,ST_FI_H1,ST_FI_H2,HL_ED_MS,HL_ED_HS,HL_ED_PS,CPR
2010,Delta State University,Cleveland,Mississippi,United States,Public,3277,4880,5020,2893,0.3913,0.6087,0.093439364,0.729622266,0.016567263,0.1721,0.505632869,0.159708416,0.127899271,0.135188867,0.071570577,0.039259259,0.380740741,0.58,0.4784
2010,Mississippi State University,Starkville,Mississippi,United States,Public,4674,4311,6355,13604,0.5308,0.4692,0.095430108,0.786866359,0.015552995,0.124,0.343701997,0.155529954,0.168010753,0.168394777,0.164362519,0.016774454,0.328011318,0.655214228,0.5285
2010,Drury University,Springfield,Missouri,United States,Private,5185,4639,5339,3916,0.3483,0.6517,0.372737557,0.407239819,0.066742081,0.3958,0.421945701,0.212104072,0.17760181,0.097850679,0.090497738,0.046554935,0.476722533,0.476722533,0.5635
2010,Northwest Missouri State University,Maryville,Missouri,United States,Public,4122,5759,5146,5296,0.4415,0.5585,0.033085194,0.91439206,0.009925558,0.068,0.191480562,0.144747725,0.241108354,0.246484698,0.17617866,0.006932409,0.396013865,0.597053726,0.4742
2010,Southwest Baptist University,Bolivar,Missouri,United States,Private,5000,3479,4173,2447,0.3355,0.6645,0.262711864,0.608757062,0.030367232,0.2415,0.362288136,0.179378531,0.208333333,0.150423729,0.099576271,0.033794163,0.410138249,0.556067588,0.4705
2010,Southeast Missouri State University,Cape Girardeau,Missouri,United States,Public,3957,5282,5655,6005,0.4028,0.5972,0.125264111,0.758828856,0.02444914,0.2306,0.283127075,0.153939028,0.182915786,0.199517054,0.180501056,0.031816736,0.453388482,0.514794782,0.4888
2010,Webster University,Saint Louis,Missouri,United States,Private,8143,3442,6392,3654,0.3681,0.6319,0.14103276,0.574125486,0.033314825,0.3544,0.259855636,0.170460855,0.178789561,0.173792338,0.21710161,0.031360947,0.344970414,0.623668639,0.533
2010,Montana State University,Bozeman,Montana,United States,Public,4386,4408,6044,10387,0.5455,0.4545,0.090845725,0.7383829,0.029275093,0.1299,0.344098513,0.156366171,0.185873606,0.171003718,0.142657993,0.009475219,0.312439261,0.67808552,0.4346
2010,Southern New Hampshire University,Manchester,New Hampshire,United States,Private,9281,4050,6629,3907,0.4548,0.5452,0.211458949,0.565268754,0.050206734,0.3778,0.251624336,0.200826934,0.174837567,0.186060248,0.186650916,0.039440204,0.410305344,0.550254453,0.5519
2010,Rowan University,Glassboro,New Jersey,United States,Public,5602,5904,7003,7708,0.4276,0.5724,0.068370987,0.795184304,0.007134364,0.1694,0.243757432,0.119203329,0.145659929,0.204221165,0.287158145,0.023189327,0.444409149,0.532401525,0.5469
2010,Monmouth University,West Long Branch,New Jersey,United States,Private,11872,5664,6481,4116,0.4237,0.5763,0.03712406,0.867481203,0.006578947,0.1169,0.201597744,0.118421053,0.139097744,0.179981203,0.360902256,0.019383698,0.414512923,0.56610338,0.4961
2010,Montclair State University,Montclair,New Jersey,United States,Public,4541,4374,7549,10186,0.3888,0.6112,0.069106801,0.768369298,0.010925977,0.2222,0.317945916,0.154602568,0.173996176,0.149685878,0.203769462,0.048117155,0.430663479,0.521219366,0.5599
2010,Stockton University,Galloway,New Jersey,United States,Public,3920,3982,7267,5789,0.4142,0.5858,0.074848024,0.758738602,0.016717325,0.1351,0.272036474,0.12993921,0.156534954,0.200987842,0.24050152,0.022058824,0.475898693,0.502042484,0.6171
2010,Cornell University,Ithaca,New York,United States,Private,18896,17591,9829,8579,0.5759,0.4241,0.01022189,0.916230367,0.005983545,0.0007,0.210670656,0.103964099,0.144353029,0.175268013,0.365744203,0.011645963,0.131469979,0.856884058,0.8914
